Condition,NumberSold,Riders,MerchandiseRevenues
FR,77,12663,4592.41
FR,63,15561,6688.57
FR Charity,79,14796,6476.78
FR Charity,101,15796,5845.94
NYOP,1137,14077,4845.27
NYOP,1233,14186,7038.63
NYOP Charity,539,12227,5690.59
NYOP Charity,628,13741,6003.44
NYOP Charity,626,18117,8557.47
